iter	Passed	Remaining
0	137	137752
1	139	69595
2	142	47349
3	144	35875
4	145	29027
5	147	24470
6	149	21231
7	151	18806
8	153	16896
9	155	15350
10	157	14118
11	158	13058
12	160	12157
13	161	11377
14	162	10701
15	165	10170
16	166	9651
17	168	9184
18	169	8764
19	171	8411
20	173	8070
21	174	7759
22	176	7477
23	177	7221
24	179	6987
25	180	6778
26	182	6582
27	184	6400
28	185	6222
29	187	6052
30	188	5892
31	189	5744
32	191	5608
33	192	5475
34	195	5378
35	196	5274
36	198	5164
37	199	5058
38	201	4958
39	202	4866
40	204	4776
41	205	4688
42	206	4606
43	208	4527
44	210	4464
45	211	4392
46	213	4322
47	214	4253
48	216	4192
49	217	4128
50	218	4066
51	219	4007
52	220	3948
53	222	3892
54	224	3852
55	225	3804
56	227	3760
57	229	3719
58	230	3673
59	231	3629
60	232	3585
61	234	3547
62	235	3508
63	237	3470
64	239	3452
65	241	3421
66	243	3386
67	244	3351
68	245	3317
69	247	3284
70	248	3250
71	249	3219
72	251	3187
73	252	3156
74	253	3128
75	255	3100
76	256	3072
77	257	3043
78	258	3016
79	259	2989
80	261	2963
81	262	2937
82	262	2905
83	264	2880
84	265	2856
85	266	2833
86	268	2813
87	269	2794
88	270	2772
89	272	2751
90	273	2731
91	274	2709
92	275	2689
93	276	2668
94	278	2652
95	279	2633
96	280	2614
97	282	2596
98	283	2582
99	285	2567
100	286	2550
101	288	2535
102	289	2520
103	290	2503
104	291	2487
105	293	2471
106	294	2455
107	295	2439
108	296	2423
109	298	2411
110	299	2402
111	301	2387
112	302	2373
113	303	2361
114	305	2349
115	306	2336
116	307	2321
117	308	2308
118	310	2295
119	311	2283
120	312	2271
121	314	2262
122	315	2252
123	317	2243
124	318	2232
125	320	2224
126	321	2213
127	323	2206
128	325	2197
129	326	2186
130	327	2175
131	330	2170
132	331	2159
133	332	2150
134	334	2141
135	335	2132
136	337	2123
137	338	2114
138	339	2104
139	340	2094
140	342	2086
